metric,Original_SFT,SFT_10K_Control,GRPO,SFT10K_minus_OriginalSFT,GRPO_minus_SFT10K
outcome_accuracy,0.386,0.5518,0.4778,0.16579999999999995,-0.07399999999999995
balanced_accuracy,0.4757037037037037,0.5254074074074074,0.38451851851851854,0.04970370370370375,-0.1408888888888889
macro_f1,0.37503346866556875,0.5198239920522938,0.3838031766990408,0.14479052338672505,-0.136020815353253
weighted_f1,0.3992329177591112,0.5433116850452446,0.4497568050999964,0.14407876728613345,-0.09355487994524825
format_completion_rate,0.9968,0.994,0.9952,-0.0028000000000000247,0.0011999999999999789
format_valid_rate,0.9966,0.9936,0.995,-0.0030000000000000027,0.0013999999999999568
unknown_rate,0.0032,0.0064,0.0048,0.0032,-0.0016000000000000007
truncation_rate,0.0032,0.0062,0.0036,0.0029999999999999996,-0.0026
mean_completion_tokens,488.3416,484.491,484.0066,-3.8506000000000427,-0.4843999999999937
mean_R_total,0.26552361916150546,0.33751679669953094,0.3089377681602432,0.07199317753802548,-0.028579028539287732
mean_R_format,0.9628672499999601,0.95990524999996,0.9625741499999618,-0.002962000000000131,0.0026689000000018615
mean_R_structure,0.9982,0.9967599999999999,0.9974900000000001,-0.0014400000000001079,0.0007300000000002305
mean_R_coverage,0.9304984999999513,0.9289741999999506,0.9324422999999525,-0.0015243000000007,0.0034681000000019724
mean_R_outcome,0.386,0.5518,0.4778,0.16579999999999995,-0.07399999999999995
mean_R_issues,0.30504587301587466,0.32870730158730355,0.32439968253968443,0.02366142857142889,-0.004307619047619116
mean_R_rules,0.19592663970799773,0.20983744657823694,0.2109950378073515,0.013910806870239212,0.0011575912291145463
mean_R_authority,0.07139423761275572,0.07438588857828883,0.07281850648890678,0.0029916509655331103,-0.0015673820893820495
mean_R_reasoning,0.2750999701720881,0.3500787052487658,0.3196714719331129,0.07497873507667768,-0.03040723331565287
