layer,lora_scaling,effective_start_l2,effective_current_l2,effective_delta_l2,effective_relative_delta
model.layers.17.mlp.gate_proj,2.0,2.412729926344689,2.412678837447798,0.0018269811458857135,0.0007572257159563686
model.layers.26.mlp.gate_proj,2.0,2.5733655056729416,2.573514943442827,0.0018269811458857135,0.0007099578904971579
model.layers.23.mlp.gate_proj,2.0,2.5178499985026344,2.5178184660904437,0.0018269811458857135,0.0007256115920218517
model.layers.25.mlp.gate_proj,2.0,2.690728222576062,2.690712007362992,0.0018269811458857135,0.0006789913342257174
model.layers.19.mlp.gate_proj,2.0,2.618313948350905,2.618357291626987,0.0016914558667664816,0.0006460095695673977
model.layers.21.mlp.gate_proj,2.0,2.453736733134973,2.453625767614373,0.0016914558667664816,0.0006893387721369046
model.layers.24.mlp.up_proj,2.0,2.2700159077360036,2.2698749538043286,0.0016914558667664816,0.0007451295213404263
model.layers.22.mlp.gate_proj,2.0,2.5379790356599123,2.5378849057072506,0.0016914558667664816,0.0006664577772316696
model.layers.18.mlp.gate_proj,2.0,2.3398653516584242,2.339693959429631,0.0016914558667664816,0.0007228859838313474
model.layers.24.mlp.gate_proj,2.0,2.6560711968772335,2.6561017163344194,0.0016914558667664816,0.0006368262525323649
model.layers.7.mlp.gate_proj,2.0,2.0669108533676637,2.06685640735644,0.0016914558667664816,0.0008183496951552386
model.layers.3.mlp.gate_proj,2.0,2.331932283023549,2.3320686682378082,0.0016914558667664816,0.0007253451908017521
model.layers.16.mlp.gate_proj,2.0,2.1503588044378747,2.150252362898739,0.0016914558667664816,0.0007865923878729834
model.layers.13.mlp.gate_proj,2.0,2.112986658685164,2.1130345001292743,0.0016914558667664816,0.0008005047546391107
model.layers.15.mlp.gate_proj,2.0,2.1847089127495374,2.184971356062304,0.0015440808887540916,0.0007067673316766069
model.layers.1.mlp.gate_proj,2.0,2.0341011577946664,2.034189650007109,0.0015440808887540916,0.0007590973943636877
model.layers.20.mlp.gate_proj,2.0,2.5801768143265833,2.580005768909954,0.0015440808887540916,0.0005984399519368175
model.layers.11.mlp.gate_proj,2.0,1.9005865797771497,1.9006278506467416,0.0015440808887540916,0.0008124233356078628
model.layers.12.mlp.gate_proj,2.0,2.1190223766331773,2.1188813925543095,0.0015440808887540916,0.0007286760658032383
model.layers.0.mlp.gate_proj,2.0,2.53313554778069,2.533101382010153,0.0015440808887540916,0.000609553203778171
model.layers.2.mlp.gate_proj,2.0,2.040352950137013,2.040387888476874,0.0015440808887540916,0.0007567714638050264
model.layers.25.mlp.up_proj,2.0,2.396928045091201,2.3967604349899374,0.0015440808887540916,0.0006441915901131445
model.layers.26.mlp.up_proj,2.0,2.25370409503549,2.253512925020592,0.0015440808887540916,0.0006851302671701345
model.layers.20.mlp.up_proj,2.0,1.8782568302951907,1.8782692065232454,0.00146484375,0.0007798953403884506
model.layers.10.mlp.gate_proj,2.0,1.9959450981792257,1.996053378001097,0.00146484375,0.0007339098411756336
model.layers.14.mlp.gate_proj,2.0,2.0088053226508293,2.0086818846362338,0.0013810679320049757,0.000687507105060092
model.layers.6.mlp.gate_proj,2.0,2.010643532821435,2.010589460415159,0.0013810679320049757,0.0006868785587602356
model.layers.27.mlp.gate_proj,2.0,2.2103465877813044,2.2103802413408005,0.0013810679320049757,0.0006248196276726267
model.layers.4.mlp.gate_proj,2.0,1.8950006591674946,1.8951159017543369,0.0013810679320049757,0.0007287954889745009
model.layers.5.mlp.gate_proj,2.0,1.869494812192246,1.8696229764735228,0.0013810679320049757,0.0007387385741849046
model.layers.8.mlp.gate_proj,2.0,1.9331504853150727,1.9330313432997088,0.0013810679320049757,0.0007144130488009492
model.layers.23.mlp.up_proj,2.0,2.3537534728103116,2.353766843438722,0.0013810679320049757,0.0005867513093272346
model.layers.18.mlp.up_proj,2.0,1.6890597728950725,1.68903570586204,0.0012918707573557572,0.000764846086613899
model.layers.9.mlp.gate_proj,2.0,1.9163557989148747,1.9164393400748174,0.0012918707573557572,0.0006741288637982944
model.layers.19.mlp.up_proj,2.0,1.8333211883951828,1.8332025813669488,0.0011960399134683486,0.0006523897291097775
model.layers.22.mlp.up_proj,2.0,2.112390806547449,2.1122326743821427,0.0011960399134683486,0.0005662020066368259
model.layers.21.mlp.up_proj,2.0,2.0769632864045793,2.0770336526523803,0.0011960399134683486,0.0005758599207301384
model.layers.16.mlp.up_proj,2.0,1.3230981276805593,1.3230908747233443,0.0010358009490037316,0.0007828602635992914
model.layers.12.mlp.up_proj,2.0,1.3051943222881048,1.3051054507799895,0.0009765625,0.0007482123415063679
model.layers.27.mlp.up_proj,2.0,1.7528257036315396,1.752807204873909,0.0009765625,0.0005571361134063347
model.layers.2.mlp.up_proj,2.0,1.0419067233358494,1.0419431065277032,0.0009765625,0.0009372839987761685
model.layers.17.mlp.up_proj,2.0,1.512136712069838,1.512103443336136,0.0009765625,0.0006458162758731418
model.layers.0.mlp.up_proj,2.0,1.2058184805541667,1.205839834496707,0.0009765625,0.0008098752140133017
model.layers.5.mlp.up_proj,2.0,1.0446088946065126,1.0446334868722313,0.0009134905729428568,0.0008744809446476655
model.layers.10.mlp.up_proj,2.0,1.1297628986950143,1.1297846877632682,0.0009134905729428568,0.000808568394304705
model.layers.11.mlp.up_proj,2.0,1.2545080434268423,1.2544731213520774,0.0009134905729428568,0.0007281663738460739
model.layers.14.mlp.up_proj,2.0,1.193561692889128,1.1935318792501937,0.0009134905729428568,0.0007653484343416445
model.layers.1.mlp.up_proj,2.0,0.9849741792441152,0.9850343584952135,0.0008802615418613255,0.0008936899671185819
model.layers.4.mlp.up_proj,2.0,0.9352435295148313,0.9352564032263283,0.0008457279333832408,0.0009042863240358073
model.layers.3.mlp.up_proj,2.0,1.0106799710055647,1.0106725401539935,0.0008457279333832408,0.0008367910294509876
model.layers.15.mlp.up_proj,2.0,1.2519814046203956,1.2520023520755308,0.0008457279333832408,0.000675511577298281
model.layers.8.mlp.up_proj,2.0,1.0410575929809942,1.0410782041939115,0.0008457279333832408,0.0008123738197437849
model.layers.9.mlp.up_proj,2.0,1.1075613213261566,1.1076241767621078,0.0008457279333832408,0.0007635946805821953
