key,tensor_type,numel,start_l2,current_l2,delta_l2,relative_delta,delta_mean,delta_std,delta_max_abs
model.layers.11.mlp.up_proj.lora_B.weight,lora_B,98304,0.8427243828773499,0.8427219390869141,0.0006456014816649258,0.0007660885276163734,-6.737019386804377e-09,2.059095777440234e-06,5.41971530765295e-06
model.layers.9.mlp.up_proj.lora_B.weight,lora_B,98304,0.8131216168403625,0.8131387233734131,0.000640935031697154,0.0007882400595715397,-8.529439377014114e-09,2.0442053028091323e-06,5.413545295596123e-06
model.layers.11.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9277780652046204,0.9277796745300293,0.0006374102085828781,0.0006870287544923774,-8.52441583987229e-09,2.03296190193214e-06,5.4943375289440155e-06
model.layers.7.mlp.up_proj.lora_B.weight,lora_B,98304,0.7840892672538757,0.7840942144393921,0.0006343867862597108,0.0008090746969175212,5.805758096499858e-09,2.0233298982930137e-06,5.431007593870163e-06
model.layers.12.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9387331604957581,0.938730001449585,0.000631198228802532,0.0006723936634657578,7.838066196086402e-09,2.0131531073275255e-06,5.4389238357543945e-06
model.layers.15.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9665502905845642,0.9665607810020447,0.0006309080054052174,0.0006527420368614734,5.0863335765427564e-09,2.012235654547112e-06,5.311798304319382e-06
model.layers.12.mlp.up_proj.lora_B.weight,lora_B,98304,0.9048301577568054,0.904815673828125,0.0006305231945589185,0.0006968414891498196,4.0567358361442984e-09,2.0110114746785257e-06,5.354639142751694e-06
model.layers.7.mlp.gate_proj.lora_B.weight,lora_B,98304,0.941065788269043,0.941059947013855,0.0006303811096586287,0.0006698587043719072,-1.722552211980144e-09,2.0105610474274727e-06,5.269888788461685e-06
model.layers.10.mlp.up_proj.lora_B.weight,lora_B,98304,0.8164153695106506,0.8164195418357849,0.0006293390761129558,0.0007708564777389895,-1.0948656203879636e-08,2.0072086499567376e-06,5.433801561594009e-06
model.layers.16.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9715666770935059,0.9715577960014343,0.0006291972240433097,0.0006476109554576193,-4.625521354828521e-10,2.0067857349204132e-06,5.284848157316446e-06
model.layers.8.mlp.gate_proj.lora_B.weight,lora_B,98304,0.9229947328567505,0.9229855537414551,0.0006286081625148654,0.0006810528165954614,-7.727958717396177e-09,2.0048928490723483e-06,5.6265853345394135e-06
model.layers.18.mlp.gate_proj.lora_B.weight,lora_B,98304,1.0082361698150635,1.0082297325134277,0.0006285879062488675,0.0006234530411303998,4.467285708020796e-10,2.0048425994900754e-06,5.465408321470022e-06
