step,,allowed,dismissed,other
1,0.010416666666666666,0.40625,0.4375,0.14583333333333334
2,0.020833333333333332,0.4270833333333333,0.3645833333333333,0.1875
3,0.0,0.4270833333333333,0.3541666666666667,0.21875
4,0.010416666666666666,0.375,0.40625,0.20833333333333334
5,0.010416666666666666,0.3645833333333333,0.53125,0.09375
6,0.010416666666666666,0.2916666666666667,0.46875,0.22916666666666666
7,0.010416666666666666,0.28125,0.53125,0.17708333333333334
8,0.010416666666666666,0.3958333333333333,0.3854166666666667,0.20833333333333334
9,0.010416666666666666,0.4791666666666667,0.3125,0.19791666666666666
10,0.0,0.375,0.4270833333333333,0.19791666666666666
11,0.0,0.3645833333333333,0.4479166666666667,0.1875
12,0.0,0.3541666666666667,0.4583333333333333,0.1875
13,0.020833333333333332,0.40625,0.3854166666666667,0.1875
14,0.0,0.4479166666666667,0.3645833333333333,0.1875
