,delta
accuracy,-0.001777777777777767
balanced_accuracy,-0.001777777777777878
macro_f1,-0.00248061048510273
weighted_f1,-0.00248061048510273
mean_R_total,0.00682452961340646
R_format_soft,0.0006080555555557643
R_outcome,-0.001777777777777767
R_issues,0.012165255731922842
R_rules,0.012141891743987498
R_authority,0.001450752416180659
format_valid_rate,0.001777777777777767
unknown_rate,-0.0017777777777777779
truncation_rate,-0.0015555555555555557
allowed_recall,-0.006222222222222185
dismissed_recall,0.002666666666666595
pred_allowed,-15.0
pred_dismissed,23.0
pred_unknown,-8.0
