reward_call_index,case_id,reference_outcome,correct_generations,reward_std,outcome_variants,generated_allowed,generated_dismissed,valid_generations,p_allowed_sampled,y_allowed,call_bin
1,in_abs_train_3287,dismissed,5.0,0.18106830486527925,2,3,5,8,0.375,0,0
1,in_abs_train_4573,allowed,5.0,0.22130629246048025,3,5,2,7,0.7142857142857143,1,0
1,in_abs_train_6396,allowed,4.0,0.203100960115899,2,4,4,8,0.5,1,0
1,sc_1961_insc_309,dismissed,4.0,0.19905227244401896,2,4,4,8,0.5,0,0
1,sc_1990_insc_76,allowed,5.0,0.1812235664222115,2,5,3,8,0.625,1,0
1,sc_1997_insc_577,dismissed,5.0,0.2030010219889257,2,3,5,8,0.375,0,0
1,sc_1997_insc_91,dismissed,6.0,0.20056350553424865,2,2,6,8,0.25,0,0
1,sc_2008_insc_111,allowed,5.0,0.16084370643035928,2,5,3,8,0.625,1,0
1,sc_2009_insc_440,dismissed,6.0,0.1686400582254443,2,2,6,8,0.25,0,0
1,sc_2020_insc_132,allowed,5.0,0.15895568444615477,2,5,3,8,0.625,1,0
1,sc_2021_insc_164,allowed,4.0,0.20223736787636756,2,4,4,8,0.5,1,0
1,sc_2022_insc_904,dismissed,7.0,0.10859602708301205,2,1,7,8,0.125,0,0
2,in_abs_train_1208,dismissed,2.0,0.15846656948969814,2,6,2,8,0.75,0,0
2,in_abs_train_1818,dismissed,3.0,0.1733290818804747,2,5,3,8,0.625,0,0
2,sc_1968_insc_335,allowed,3.0,0.18516354277882227,3,3,4,7,0.42857142857142855,1,0
2,sc_1968_insc_338,dismissed,2.0,0.2169760923275836,2,6,2,8,0.75,0,0
2,sc_1996_insc_1245,dismissed,3.0,0.17470255333811566,2,5,3,8,0.625,0,0
2,sc_1999_insc_25,dismissed,6.0,0.15863669462734897,2,2,6,8,0.25,0,0
2,sc_2001_insc_191,allowed,4.0,0.19363557008715157,2,4,4,8,0.5,1,0
2,sc_2003_insc_425,allowed,3.0,0.1825598207975754,2,3,5,8,0.375,1,0
2,sc_2006_insc_448,allowed,6.0,0.16527603736411914,2,6,2,8,0.75,1,0
2,sc_2012_insc_97,dismissed,4.0,0.17804824319820928,3,2,4,6,0.3333333333333333,0,0
2,sc_2016_insc_1162,allowed,5.0,0.18083541254016433,2,5,3,8,0.625,1,0
2,sc_2021_insc_126,allowed,2.0,0.19903420200006258,2,2,6,8,0.25,1,0
3,in_abs_train_103,dismissed,4.0,0.20292321547039013,2,4,4,8,0.5,0,0
3,in_abs_train_6142,allowed,3.0,0.2238675796221397,2,3,5,8,0.375,1,0
3,in_abs_train_6494,dismissed,5.0,0.18005739464722204,2,3,5,8,0.375,0,0
3,sc_1970_insc_231,dismissed,4.0,0.2187549995941527,3,3,4,7,0.42857142857142855,0,0
3,sc_1980_insc_110,allowed,4.0,0.15663009216589788,2,4,4,8,0.5,1,0
3,sc_1990_insc_203,allowed,6.0,0.16364287377570977,2,6,2,8,0.75,1,0
3,sc_2001_insc_193,allowed,2.0,0.21421464162738282,2,2,6,8,0.25,1,0
3,sc_2003_insc_321,allowed,5.0,0.20657867750569028,2,5,3,8,0.625,1,0
3,sc_2004_insc_608,dismissed,6.0,0.16441984156460054,2,2,6,8,0.25,0,0
3,sc_2007_insc_600,allowed,4.0,0.1891959461161515,3,4,3,7,0.5714285714285714,1,0
3,sc_2009_insc_23,dismissed,3.0,0.18158840023034037,2,5,3,8,0.625,0,0
3,sc_2018_insc_459,dismissed,5.0,0.19039430647864478,2,3,5,8,0.375,0,0
4,in_abs_train_2407,allowed,6.0,0.16150110224634912,2,6,2,8,0.75,1,0
4,sc_1983_insc_190,dismissed,3.0,0.18182756499732688,2,5,3,8,0.625,0,0
4,sc_1988_insc_161,dismissed,4.0,0.18721333006279642,2,4,4,8,0.5,0,0
